Source,Target,Weight,Type
1Cor,1Thes,3,undirected
1Cor,1Tim,1,undirected
1Cor,2Cor,2,undirected
1Cor,2Thes,1,undirected
1Cor,Col,1,undirected
1Cor,Lao,3,undirected
1Cor,Phlm,3,undirected
1Cor,Tit,1,undirected
1Thes,1Cor,3,undirected
1Thes,1Thes,6,undirected
1Thes,2Cor,5,undirected
1Thes,2Thes,4,undirected
1Thes,2Tim,3,undirected
1Thes,Eph,3,undirected
1Thes,Gal,3,undirected
1Thes,Hbr,3,undirected
1Thes,Lao,2,undirected
1Thes,Phlm,2,undirected
1Thes,Phlp,3,undirected
1Thes,Rom,3,undirected
1Tim,1Cor,1,undirected
1Tim,Col,5,undirected
1Tim,Tit,6,undirected
2Cor,1Cor,2,undirected
2Cor,1Thes,5,undirected
2Cor,2Cor,4,undirected
2Cor,2Thes,3,undirected
2Cor,2Tim,2,undirected
2Cor,Eph,2,undirected
2Cor,Gal,2,undirected
2Cor,Hbr,2,undirected
2Cor,Lao,1,undirected
2Cor,Phlm,1,undirected
2Cor,Phlp,2,undirected
2Cor,Rom,2,undirected
2Thes,1Cor,1,undirected
2Thes,1Thes,4,undirected
2Thes,2Cor,3,undirected
2Thes,2Thes,2,undirected
2Thes,2Tim,1,undirected
2Thes,Eph,1,undirected
2Thes,Gal,1,undirected
2Thes,Hbr,1,undirected
2Thes,Phlp,1,undirected
2Thes,Rom,1,undirected
2Tim,1Thes,3,undirected
2Tim,2Cor,2,undirected
2Tim,2Thes,1,undirected
Col,1Cor,1,undirected
Col,1Tim,5,undirected
Col,Lao,2,undirected
Col,Tit,2,undirected
Eph,1Thes,3,undirected
Eph,2Cor,2,undirected
Eph,2Thes,1,undirected
Gal,1Thes,3,undirected
Gal,2Cor,2,undirected
Gal,2Thes,1,undirected
Hbr,1Thes,3,undirected
Hbr,2Cor,2,undirected
Hbr,2Thes,1,undirected
Lao,1Cor,3,undirected
Lao,1Thes,2,undirected
Lao,2Cor,1,undirected
Lao,Col,2,undirected
Phlm,1Cor,3,undirected
Phlm,1Thes,2,undirected
Phlm,2Cor,1,undirected
Phlp,1Thes,3,undirected
Phlp,2Cor,2,undirected
Phlp,2Thes,1,undirected
Rom,1Thes,3,undirected
Rom,2Cor,2,undirected
Rom,2Thes,1,undirected
Tit,1Cor,1,undirected
Tit,1Tim,6,undirected
Tit,Col,2,undirected
